代码		名称    		涨幅%		现价		涨跌		涨速%		DDE净量		总手		换手%		量比		所属行业		现手		开盘		昨收		最高		最低		买价		卖价		市盈(动)		市净率		买量		卖量		委比%		振幅%		金额		均笔额		笔数		手/笔		外盘		内盘		总市值		流通市值		贡献度		
SH600360	华微电子	-2.06		8.09		-0.17		--		-0.69		32521770	4.41		0.61		半导体及元件	13700--		8.33		8.26		8.45		7.98		8.08		8.09		70.04		2.84		191600		62754		+17.20		5.69		264,146,610	11500.14	22969		1416		14570455	17951315	6080346920	5972669020	--		
SH600363	联创光电	-1.62		11.52		-0.19		--		0.01		3966812		0.894		0.80		光学光电子	1500--		11.64		11.71		11.83		11.35		11.51		11.53		32.31		2.24		11700		12500		-9.37		4.10		45,663,616	15949.57	2863		1386		1519401		2447411		5108852160	5108852160	--		
SH600368	五洲交通	+2.91		5.31		+0.15		--		0.07		6168291		0.740		1.85		公路铁路运输	10000--		5.24		5.16		5.33		5.21		5.30		5.31		7.08		1.29		85200		16900		-50.90		2.33		32,495,590	10186.71	3190		1934		3820911		2347380		4427486124	4427486124	--		
SH600372	中航电子	-7.43		14.58		-1.17		--		-0.21		21241678	1.21		1.58		国防军工	4300--		15.48		15.75		15.49		14.18		14.55		14.56		亏损		3.87		7600		5700		-24.80		8.32		308,892,710	18491.03	16705		1272		8842966		12398712	25648595082	25648595082	--		
SH600385	山东金泰	-2.40		12.19		-0.30		--		0.02		566500		0.397		0.36		通信服务	300--		12.22		12.49		12.42		12.16		12.17		12.18		亏损		32.42		5900		900		+5.71		2.08		6,945,384	11892.78	584		970		177300		389200		1805426159	1740412744	--		
SH600387	海越股份	+1.64		8.70		+0.14		--		-0.02		2318455		0.601		0.62		基础化学	100--		8.60		8.56		8.75		8.48		8.70		8.72		29.66		--		11000		18700		+28.40		3.15		19,973,169	11498.66	1737		1335		1171555		1146900		4051872402	3355677000	--		
SH600389	江山股份	+0.57		19.38		+0.11		--		-0.10		2169166		0.730		0.85		化学制品	600--		19.46		19.27		19.52		18.90		19.34		19.38		16.99		3.49		7400		900		-14.99		3.22		41,818,058	24383.71	1715		1265		1185336		983830		5755860000	5755860000	--		
SH600398	海澜之家	-1.25		11.89		-0.15		--		0.00		12977545	0.289		1.27		服装家纺	800--		12.04		12.04		12.14		11.66		11.89		11.90		11.81		4.34		4900		2000		+36.40		3.99		153,673,650	11268.88	13637		952		6243115		6734430		53418891431	53418891431	--		
SH600406	国电南瑞	+0.12		17.30		+0.02		--		0.04		12235907	0.555		0.99		电气设备	600--		17.25		17.28		17.36		17.01		17.29		17.30		210.2		35.31		11300		7100		+18.30		2.03		210,808,850	23893.10	8823		1387		5710675		6525232		79297388930	38159537280	--		
SH600410	华胜天成	-1.75		12.37		-0.22		--		-0.49		40144268	3.67		0.62		计算机应用	3500--		12.72		12.59		12.79		12.20		12.35		12.36		182.0		2.80		51280		56100		-24.20		4.69		499,069,780	19804.36	25200		1593		16945515	23198753	13642137975	13531473481	--		
SH600416	湘电股份	-2.19		10.25		-0.23		--		-0.06		10802340	1.23		0.70		电气设备	6600--		10.64		10.48		10.69		10.13		10.24		10.25		亏损		1.54		12100		18500		+11.01		5.34		110,851,523	13093.73	8466		1276		4068069		6734271		9694801883	9034776503	--		
SH600422	昆药集团	+1.43		9.21		+0.13		--		0.03		8557087		1.27		0.74		中药		3000--		9.09		9.08		9.28		9.01		9.21		9.22		22.01		1.93		8500		23400		-25.42		2.97		78,419,093	13266.64	5911		1448		4569500		3987587		7240880817	6224674560	--		
